# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	25120
#@/user_id	rime
a 	啊	c=122 d=2.11641 t=25120
pao lu 	跑路	c=1 d=1.09884e-50 t=25120
pao man 	跑滿	c=1 d=2.85261e-38 t=25120
pao qi 	拋棄	c=1 d=5.65814e-07 t=25120
pao ti 	跑題	c=1 d=1.14512e-06 t=25120
pao xiao 	咆哮	c=1 d=1.22049e-50 t=25120
pei fu 	佩服	c=1 d=7.52118e-32 t=25120
pei he 	配合	c=2 d=1.80614e-14 t=25120
pei jian 	配件	c=1 d=1.28002e-22 t=25120
pei lei la 	佩雷拉	c=1 d=5.025e-52 t=25120
pei luo 	佩羅	c=1 d=2.62292e-21 t=25120
pei se 	配色	c=3 d=0.14522 t=25120
pei tu 	配圖	c=2 d=7.6799e-13 t=25120
pei xun ban 	培訓班	c=3 d=2.23979e-16 t=25120
pei yang 	培養	c=1 d=0.169484 t=25120
pei zhi 	配置	c=4 d=0.055299 t=25120
pen 	噴	c=6 d=0.00904991 t=25120
pen si 	噴死	c=1 d=0.000220415 t=25120
peng 	捧	c=3 d=0.457891 t=25120
peng 	碰	c=1 d=2.91554e-50 t=25120
peng bo 	彭博	c=1 d=4.22717e-18 t=25120
peng pai 	澎湃	c=2 d=7.47819e-48 t=25120
peng peng 	碰碰	c=1 d=1.24345e-34 t=25120
peng peng 	蓬蓬	c=1 d=1.9858e-12 t=25120
peng you 	朋友	c=6 d=7.73717e-09 t=25120
peng you men 	朋友們	c=1 d=1.09828e-44 t=25120
peng you quan 	朋友全	c=1 d=2.39505e-40 t=25120
peng zhu 	捧住	c=1 d=2.41961e-13 t=25120
pi 	屁	c=1 d=2.65379e-41 t=25120
pi 	批	c=2 d=3.55468e-09 t=25120
pi dou 	批鬥	c=1 d=2.495e-21 t=25120
pi fu 	皮膚	c=2 d=0.0547488 t=25120
pi gu 	屁股	c=14 d=4.53119e-07 t=25120
pi ka 	皮卡	c=1 d=1.57125e-22 t=25120
pi liang 	批量	c=2 d=8.3786e-08 t=25120
pi min 	屁民	c=2 d=3.22879e-36 t=25120
pi ping 	批評	c=1 d=1.7329e-27 t=25120
pi zhun 	批准	c=1 d=1.19881e-45 t=25120
pian 	偏	c=3 d=1.04149e-25 t=25120
pian 	片	c=2 d=1.59473e-20 t=25120
pian 	篇	c=2 d=5.25825e-27 t=25120
pian 	騙	c=2 d=1.28998e-25 t=25120
pian hao 	偏好	c=1 d=1.94244e-17 t=25120
pian ren 	騙人	c=1 d=0.000884932 t=25120
pian yi 	便宜	c=3 d=6.77749e-13 t=25120
piao 	票	c=4 d=0.000176297 t=25120
piao liang 	漂亮	c=2 d=9.35463e-10 t=25120
pin 	拼	c=1 d=2.46715e-36 t=25120
pin dao 	頻道	c=1 d=0.392586 t=25120
pin fan 	頻繁	c=1 d=9.76306e-13 t=25120
pin yin 	拼音	c=2 d=1.22623e-17 t=25120
pin yong 	聘用	c=1 d=7.30138e-36 t=25120
ping 	坪	c=1 d=3.47933e-51 t=25120
ping 	屏	c=2 d=3.33087e-38 t=25120
ping 	平	c=14 d=0.652376 t=25120
ping 	憑	c=3 d=2.14771e-20 t=25120
ping an 	平安	c=2 d=1.87073e-45 t=25120
ping ban 	平板	c=3 d=5.01383e-13 t=25120
ping bi 	屏蔽	c=1 d=3.51011e-37 t=25120
ping guo 	蘋果	c=21 d=0.000154852 t=25120
ping guo da fa 	蘋果大法	c=1 d=4.85315e-25 t=25120
ping guo de 	蘋果的	c=1 d=1.01002e-29 t=25120
ping guo ri bao 	蘋果日報	c=1 d=3.3765e-51 t=25120
ping heng 	平衡	c=0 d=9.5678e-41 t=25120
ping heng che 	平衡車	c=1 d=9.61576e-40 t=25120
ping jia 	評價	c=1 d=1.36505e-14 t=25120
ping jun 	平均	c=1 d=3.39711e-05 t=25120
ping lun 	評論	c=15 d=0.0408476 t=25120
ping lun yuan 	評論員	c=1 d=1.21506e-27 t=25120
ping mian 	平面	c=1 d=5.63166e-40 t=25120
ping mu 	屏幕	c=18 d=2.42505e-10 t=25120
ping mu xi 	屏幕細	c=1 d=6.54751e-48 t=25120
ping rang 	平壤	c=2 d=4.55411e-12 t=25120
ping shen me 	憑什麼	c=1 d=7.27386e-21 t=25120
ping shi 	平時	c=1 d=9.91873e-52 t=25120
ping shu 	評述	c=1 d=6.96467e-10 t=25120
ping tai 	平臺	c=4 d=0.242926 t=25120
ping zhou 	萍洲	c=1 d=3.46198e-51 t=25120
po 	破	c=3 d=3.63592e-10 t=25120
po chan 	破產	c=1 d=2.90321e-39 t=25120
po fa 	破發	c=1 d=6.74347e-42 t=25120
po fu 	潑婦	c=1 d=4.50799e-10 t=25120
po jie 	破解	c=5 d=2.60863e-15 t=25120
pu 	噗	c=1 d=2.82519e-42 t=25120
pu 	普	c=0 d=9.36718e-27 t=25120
pu 	鋪	c=3 d=6.30338e-05 t=25120
pu bian 	普遍	c=1 d=2.20783e-53 t=25120
pu dong 	浦東	c=2 d=5.46539e-11 t=25120
pu guang 	曝光	c=1 d=3.1369e-38 t=25120
pu ji 	普及	c=1 d=8.68147e-14 t=25120
pu jie 	撲街	c=1 d=2.34762e-40 t=25120
pu tao ya 	葡萄牙	c=1 d=0.000332125 t=25120
pu tian tong qing 	普天同慶	c=1 d=5.49168e-38 t=25120
pu tong 	普通	c=2 d=2.63293e-07 t=25120
pu tong hua 	普通話	c=1 d=0.000249763 t=25120
pu tou 	浦頭	c=1 d=5.79823e-30 t=25120
qi 	企	c=2 d=0.668931 t=25120
qi 	其	c=0 d=8.04433e-30 t=25120
qi 	器	c=1 d=4.42173e-19 t=25120
qi 	期	c=2 d=2.97985e-22 t=25120
qi 	起	c=5 d=1.45648e-12 t=25120
qi 	騎	c=3 d=1.67646e-27 t=25120
qi 	齊	c=4 d=0.000146569 t=25120
qi ba 	七八	c=0 d=1.70768e-32 t=25120
qi ba shi 	七八十	c=1 d=1.71624e-31 t=25120
qi bu 	起步	c=1 d=2.9834e-36 t=25120
qi che 	汽車	c=1 d=7.40038e-18 t=25120
qi dai 	期待	c=2 d=2.03538e-08 t=25120
qi di 	起底	c=1 d=4.00014e-45 t=25120
qi dong 	啓動	c=2 d=3.99289e-16 t=25120
qi e 	企鵝	c=1 d=4.58391e-30 t=25120
qi fei 	起飛	c=1 d=0.00249118 t=25120
qi fen 	氣氛	c=1 d=5.50777e-43 t=25120
qi fu 	欺負	c=2 d=2.95289e-32 t=25120
qi fu ren 	欺負人	c=1 d=6.52394e-35 t=25120
qi gai 	乞丐	c=1 d=1.00672e-20 t=25120
qi guai 	奇怪	c=5 d=0.00021605 t=25120
qi hong 	祁宏	c=1 d=2.48771e-16 t=25120
qi ji 	奇跡	c=1 d=1.62329e-23 t=25120
qi jin wei zhi 	迄今爲止	c=1 d=5.70104e-37 t=25120
qi keng 	棄坑	c=2 d=1.03692e-21 t=25120
qi lai 	起來	c=3 d=3.84015e-06 t=25120
qi lai zhan 	起來戰	c=1 d=1.79585e-35 t=25120
qi long 	騎龍	c=1 d=8.05144e-10 t=25120
qi ma 	起碼	c=9 d=2.93858e-05 t=25120
qi shan 	岐山	c=0 d=1.73113e-16 t=25120
qi shen 	起身	c=1 d=1.10307e-07 t=25120
qi shi 	其實	c=11 d=0.0301775 t=25120
qi shi 	歧視	c=3 d=5.5872e-35 t=25120
qi su 	起訴	c=2 d=2.81894e-16 t=25120
qi ta 	其他	c=8 d=0.358135 t=25120
qi wang 	期望	c=1 d=4.20322e-10 t=25120
qi xiao 	奇效	c=1 d=2.38765e-33 t=25120
qi ye 	企業	c=3 d=1.05508e-13 t=25120
qi yi 	其一	c=1 d=2.40501e-30 t=25120
qi yi 	奇異	c=1 d=6.25195e-34 t=25120
qi yi 	棋藝	c=1 d=2.45443e-34 t=25120
qi yong 	啓用	c=1 d=9.17047e-41 t=25120
qi yue 	契約	c=2 d=1.03615e-06 t=25120
qi zhi 	氣質	c=1 d=6.16851e-23 t=25120
qi zhong 	期中	c=1 d=0.00379148 t=25120
qian 	前	c=20 d=0.000223825 t=25120
qian 	千	c=4 d=1.50515e-22 t=25120
qian 	淺	c=1 d=9.63081e-29 t=25120
qian 	簽	c=3 d=0.00104891 t=25120
qian 	錢	c=12 d=0.000114197 t=25120
qian an 	前岸	c=1 d=3.33427e-50 t=25120
qian bao 	錢包	c=1 d=3.23023e-30 t=25120
qian chang 	前場	c=4 d=9.56595e-18 t=25120
qian dao 	簽到	c=2 d=7.90814e-34 t=25120
qian duan 	前端	c=7 d=6.30984e-12 t=25120
qian duo 	錢多	c=1 d=0.245367 t=25120
qian feng 	前鋒	c=7 d=1.09738e-05 t=25120
qian fu 	潛伏	c=1 d=2.72236e-47 t=25120
qian ji nian 	前幾年	c=1 d=0.199888 t=25120
qian ji ri 	前幾日	c=1 d=1.52378e-14 t=25120
qian ji tian 	前幾天	c=3 d=4.59984e-12 t=25120
qian jin 	千斤	c=1 d=0.063609 t=25120
qian jing 	前景	c=1 d=1.2405e-06 t=25120
qian li 	千里	c=1 d=0.000564257 t=25120
qian li 	潛力	c=1 d=2.58422e-52 t=25120
qian liang yue 	前兩月	c=1 d=1.14252e-38 t=25120
qian mian 	前面	c=3 d=0.343008 t=25120
qian ming 	簽名	c=3 d=1.14907 t=25120
qian pai 	前排	c=1 d=6.69386e-14 t=25120
qian qiu 	千秋	c=2 d=2.11772e-34 t=25120
qian ru 	潛入	c=1 d=0.0081887 t=25120
qian shui 	潛水	c=1 d=5.2123e-12 t=25120
qian si 	前四	c=3 d=1.35176e-14 t=25120
qian ti 	前提	c=5 d=1.46389e-20 t=25120
qian xi 	前夕	c=2 d=9.25988e-08 t=25120
qian xian 	前線	c=1 d=2.15933e-27 t=25120
qian xing 	潛行	c=2 d=2.65248e-34 t=25120
qian yao 	前腰	c=1 d=4.66191e-52 t=25120
qian yi 	前一	c=0 d=1.49233e-05 t=25120
qian yi 	遷移	c=1 d=4.54386e-15 t=25120
qian yi wan 	前一晚	c=1 d=0.000149981 t=25120
qian yi zhen 	前一陣	c=1 d=2.73321e-35 t=25120
qian zheng 	簽證	c=4 d=1.21108e-16 t=25120
qian zhi 	前置	c=1 d=6.83119e-47 t=25120
qian zhong shu 	錢鍾書	c=1 d=4.19152e-36 t=25120
qiang 	強	c=3 d=8.98459e-06 t=25120
qiang 	搶	c=2 d=3.21302e-26 t=25120
qiang 	槍	c=1 d=6.03794e-36 t=25120
qiang 	牆	c=9 d=5.26668e-19 t=25120
qiang diao 	強調	c=1 d=6.8846e-21 t=25120
qiang dui liu 	強對流	c=1 d=1.36222e-19 t=25120
qiang guo 	強國	c=1 d=1.84413e-53 t=25120
qiang po zheng 	強迫症	c=1 d=2.5441e-15 t=25120
qiang wai 	牆外	c=3 d=2.17695e-05 t=25120
qiang xing 	強行	c=2 d=6.10619e-31 t=25120
qiao 	巧	c=1 d=1.72996e-07 t=25120
qiao 	敲	c=1 d=1.07116e-44 t=25120
qie 	且	c=0 d=7.85532e-15 t=25120
qie 	切	c=1 d=9.76639e-17 t=25120
qie huan 	切換	c=3 d=2.06642e-39 t=25120
qie qu 	竊取	c=1 d=6.71669e-54 t=25120
qie xing qie zhen xi 	且行且珍惜	c=1 d=7.8947e-14 t=25120
qin 	親	c=1 d=2.43298e-19 t=25120
qin dian 	欽點	c=1 d=0.0297478 t=25120
qin qi 	親戚	c=1 d=1.97106e-42 t=25120
qin quan 	侵權	c=1 d=2.83307e-16 t=25120
qin quan fei 	侵權費	c=1 d=1.83119e-29 t=25120
qing 	傾	c=1 d=4.26892e-16 t=25120
qing 	清	c=2 d=3.77899e-23 t=25120
qing 	請	c=22 d=0.477114 t=25120
qing 	輕	c=1 d=2.90627e-22 t=25120
qing 	青	c=1 d=1.16263e-08 t=25120
qing bai 	清白	c=1 d=2.79042e-14 t=25120
qing bu zi jin 	情不自禁	c=1 d=9.02012e-23 t=25120
qing chu 	清楚	c=3 d=4.86918e-05 t=25120
qing chu 	清除	c=1 d=2.39057e-18 t=25120
qing fang xin 	請放心	c=1 d=9.69888e-53 t=25120
qing feng 	慶豐	c=4 d=2.57098e-21 t=25120
qing feng di 	慶豐帝	c=3 d=7.2937e-41 t=25120
qing guang yan 	青光眼	c=1 d=4.7684e-53 t=25120
qing huai 	情懷	c=2 d=3.62187e-14 t=25120
qing hui 	清灰	c=1 d=4.07331e-23 t=25120
qing jiao 	請教	c=1 d=5.0862e-18 t=25120
qing jing 	清勁	c=1 d=6.4279e-37 t=25120
qing jing 	清靜	c=1 d=1.74248e-33 t=25120
qing kuang 	情況	c=4 d=3.13551e-22 t=25120
qing kuang shi 	情況是	c=1 d=3.1402e-21 t=25120
qing liao 	輕聊	c=1 d=8.60241e-24 t=25120
qing nian 	青年	c=1 d=1.52689e-38 t=25120
qing qing 	清清	c=1 d=3.66918e-29 t=25120
qing ren 	請人	c=2 d=8.29664e-10 t=25120
qing shan 	青山	c=0 d=1.20404e-09 t=25120
qing shan zhe bu zhu 	青山遮不住	c=1 d=1.21007e-08 t=25120
qing tie 	請貼	c=1 d=1.29486e-40 t=25120
qing wen 	請問	c=9 d=3.23447e-17 t=25120
qing xian 	請先	c=1 d=5.14782e-42 t=25120
qing xiu 	清秀	c=1 d=1.84514e-30 t=25120
qing yong 	請用	c=1 d=8.47434e-24 t=25120
qing you ke yuan 	情有可原	c=1 d=1.66552e-31 t=25120
qing zhu 	慶祝	c=1 d=0.00398587 t=25120
qiong 	窮	c=6 d=5.23024e-23 t=25120
qiong ren 	窮人	c=1 d=1.30432e-08 t=25120
qiong si 	瓊斯	c=1 d=3.07959e-27 t=25120
qiu 	求	c=18 d=2.79477e-12 t=25120
qiu 	球	c=4 d=7.34071e-11 t=25120
qiu chang 	球場	c=1 d=2.63741e-27 t=25120
qiu dai 	求帶	c=2 d=7.01651e-09 t=25120
qiu ji 	秋季	c=1 d=1.9069e-35 t=25120
qiu ku 	秋褲	c=1 d=8.78067e-30 t=25120
qiu mi 	球迷	c=9 d=0.000464291 t=25120
qiu tian 	秋天	c=1 d=1.88792e-35 t=25120
qiu wang 	球王	c=2 d=1.91685e-23 t=25120
qiu yuan 	球員	c=3 d=1.04692e-10 t=25120
qu 	佢	c=52 d=1.32998 t=25120
qu 	區	c=4 d=2.6141e-23 t=25120
qu 	去	c=70 d=1.14976 t=25120
qu 	取	c=1 d=2.57404e-35 t=25120
qu 	驅	c=1 d=6.66161e-16 t=25120
qu bie 	區別	c=1 d=2.92482e-38 t=25120
qu dao 	渠道	c=1 d=2.40207e-45 t=25120
qu di 	佢地	c=2 d=0.0581343 t=25120
qu dong 	驅動	c=6 d=2.01061e-11 t=25120
qu dong qi 	驅動器	c=1 d=1.50934e-49 t=25120
qu guo 	去過	c=1 d=9.40133e-10 t=25120
qu hua wu bi mian 	佢話唔俾麪	c=1 d=0.084163 t=25120
qu huo 	去火	c=1 d=9.85951e-11 t=25120
qu le 	去了	c=1 d=2.17318e-14 t=25120
qu qu 	去去	c=1 d=8.73985e-34 t=25120
qu wen 	驅蚊	c=1 d=1.20757e-13 t=25120
qu xiao 	取消	c=3 d=0.00388746 t=25120
qu yu 	區域	c=1 d=1.81828e-34 t=25120
quan 	全	c=15 d=0.310292 t=25120
quan 	券	c=3 d=1.54476e-27 t=25120
quan 	圈	c=6 d=7.01294e-06 t=25120
quan ban 	全班	c=1 d=0.00392653 t=25120
quan bei 	圈杯	c=1 d=2.46212e-12 t=25120
quan bu 	全部	c=20 d=0.0149597 t=25120
quan chang 	全場	c=3 d=8.02929e-07 t=25120
quan cheng 	全程	c=1 d=8.49166e-48 t=25120
quan fen 	勸分	c=1 d=2.61295e-35 t=25120
quan guo 	全國	c=3 d=0.000262568 t=25120
quan ji 	全季	c=1 d=8.40431e-44 t=25120
quan jia 	全家	c=2 d=4.66682e-35 t=25120
quan jia tong 	全家桶	c=4 d=4.93169e-08 t=25120
quan ju 	全劇	c=3 d=0.000387906 t=25120
quan ju 	全局	c=2 d=4.39519e-06 t=25120
quan kao 	全靠	c=1 d=7.56813e-17 t=25120
quan li 	權力	c=3 d=7.60458e-11 t=25120
quan mian 	全面	c=2 d=4.61881e-31 t=25120
quan min 	全民	c=2 d=2.49025e-28 t=25120
quan neng 	全能	c=1 d=2.9304e-31 t=25120
quan ping 	全憑	c=1 d=8.46974e-47 t=25120
quan qiu 	全球	c=2 d=7.45276e-42 t=25120
quan shi 	全是	c=2 d=5.3921e-13 t=25120
quan shi jie 	全世界	c=2 d=0.400517 t=25120
quan tian 	全天	c=1 d=2.83838e-38 t=25120
quan tu 	全圖	c=1 d=0.205975 t=25120
quan wang 	全網	c=1 d=3.45914e-12 t=25120
quan wang 	拳王	c=3 d=3.52177e-09 t=25120
quan xian 	權限	c=1 d=1.44966e-45 t=25120
quan zhong zi 	全中資	c=1 d=0.147342 t=25120
quan zi 	圈子	c=1 d=1.74818e-42 t=25120
que 	卻	c=1 d=1.35331e-30 t=25120
que 	缺	c=2 d=1.73148e-39 t=25120
que qie 	確切	c=1 d=3.09661e-33 t=25120
que shi 	確實	c=8 d=0.227638 t=25120
qun 	羣	c=3 d=5.7864e-06 t=25120
qun li 	羣裏	c=1 d=3.9292e-11 t=25120
qun ou 	羣毆	c=1 d=5.54009e-53 t=25120
qun ti 	羣體	c=1 d=5.02174e-15 t=25120
qun yuan 	羣員	c=1 d=6.66366e-49 t=25120
qun zhong 	羣衆	c=3 d=0.0643126 t=25120
qun zhu 	羣主	c=6 d=4.89359e-05 t=25120
ran 	然	c=2 d=4.8876e-20 t=25120
ran bing luan 	然並卵	c=3 d=4.98649e-20 t=25120
ran er 	然而	c=6 d=0.000455346 t=25120
ran er bing 	然而並	c=1 d=1.09488e-37 t=25120
ran hou 	然後	c=50 d=0.00429359 t=25120
ran se ti 	染色體	c=2 d=7.98626e-32 t=25120
ran xue 	染血	c=1 d=2.53184e-17 t=25120
rang 	讓	c=25 d=0.393274 t=25120
rang ren 	讓人	c=1 d=1.59885e-21 t=25120
rang wo 	讓我	c=1 d=5.22668e-15 t=25120
re 	熱	c=8 d=0.0106783 t=25120
re bu qi 	惹不起	c=1 d=6.88694e-25 t=25120
re ci 	熱刺	c=1 d=2.84873e-22 t=25120
re re 	熱熱	c=0 d=3.04211e-31 t=25120
re re re 	熱熱熱	c=1 d=3.05736e-30 t=25120
re shen 	熱身	c=1 d=1.18285e-05 t=25120
ren 	人	c=85 d=1.73373 t=25120
ren 	刃	c=3 d=1.4216e-24 t=25120
ren 	忍	c=1 d=2.79621e-10 t=25120
ren bu yao lian 	人不要臉	c=1 d=8.69774e-36 t=25120
ren cai 	人才	c=1 d=1.83625e-32 t=25120
ren cuo 	認錯	c=0 d=2.96801e-35 t=25120
ren cuo ren 	認錯人	c=2 d=6.02605e-34 t=25120
ren de 	認得	c=1 d=3.71881e-40 t=25120
ren de chu 	認得出	c=1 d=2.51664e-05 t=25120
ren di 	人地	c=1 d=1.97583e-41 t=25120
ren duo 	人多	c=1 d=6.25514e-40 t=25120
ren gong 	人工	c=1 d=8.61734e-15 t=25120
ren he 	任何	c=3 d=6.49271e-08 t=25120
ren jia 	人家	c=38 d=0.911205 t=25120
ren jian 	人間	c=1 d=2.03393e-29 t=25120
ren jiao 	任教	c=1 d=4.83485e-10 t=25120
ren jie 	人皆	c=1 d=3.48548e-13 t=25120
ren lai ren wang 	人來人往	c=1 d=1.72514e-33 t=25120
ren lei 	人類	c=3 d=0.000220933 t=25120
ren li 	人力	c=1 d=1.62214e-44 t=25120
ren lian 	人臉	c=1 d=0.000132358 t=25120
ren ma 	人罵	c=1 d=6.9827e-11 t=25120
ren men 	人們	c=1 d=6.14401e-35 t=25120
ren min 	人民	c=3 d=6.5783e-15 t=25120
ren min bi 	人民幣	c=2 d=9.43208e-19 t=25120
ren ne 	人呢	c=0 d=6.42025e-24 t=25120
ren pin 	人品	c=4 d=0.287959 t=25120
ren pin wen ti 	人品問題	c=1 d=0.0699482 t=25120
ren qing 	認清	c=1 d=0.215455 t=25120
ren ren 	忍忍	c=1 d=5.5461e-07 t=25120
ren rou 	人肉	c=1 d=2.07784e-45 t=25120
ren sheng 	人生	c=2 d=1.06861e-16 t=25120
ren sheng ru xi 	人生如戲	c=1 d=1.48737e-53 t=25120
ren sheng ying jia 	人生贏家	c=2 d=0.0319048 t=25120
ren shi 	認識	c=2 d=1.53491e-39 t=25120
ren tong gan 	認同感	c=1 d=3.03901e-18 t=25120
ren tou 	人頭	c=4 d=1.06217 t=25120
ren tou ji ji 	人頭濟濟	c=1 d=2.12827e-33 t=25120
ren tou shu 	人頭術	c=1 d=1.43129e-42 t=25120
ren wang 	人王	c=2 d=1.8978e-29 t=25120
ren wang gao chu zou 	人往高處走	c=1 d=2.24937e-37 t=25120
ren wei 	認爲	c=3 d=1.34057e-07 t=25120
ren wu 	人物	c=3 d=1.8506e-06 t=25120
ren wu 	任務	c=9 d=1.31202 t=25120
ren wu lian 	任務鏈	c=1 d=1.33616e-27 t=25120
ren xing 	人型	c=1 d=4.68782e-29 t=25120
ren xing 	任性	c=1 d=1.28311e-21 t=25120
ren yi 	任意	c=1 d=9.23431e-05 t=25120
ren yi qun fen 	人以羣分	c=1 d=6.79019e-35 t=25120
ren you 	人有	c=0 d=0.00623495 t=25120
ren you duo da dan 	人有多大膽	c=1 d=0.062662 t=25120
ren zha 	人渣	c=1 d=1.61382e-13 t=25120
ren zhen 	認真	c=1 d=2.22759e-44 t=25120
ren zhen de 	認真的	c=1 d=1.9714e-44 t=25120
ren zheng 	認證	c=2 d=5.80627e-35 t=25120
reng 	扔	c=1 d=2.13487e-40 t=25120
reng jin 	扔進	c=1 d=3.25029e-44 t=25120
reng le 	扔了	c=1 d=0.489192 t=25120
ri 	日	c=19 d=1.14378 t=25120
ri bao 	日報	c=0 d=3.35966e-52 t=25120
ri ben 	日本	c=9 d=0.0199888 t=25120
ri ben che zhu 	日本車主	c=1 d=0.20089 t=25120
ri ben huo 	日本貨	c=2 d=3.66514e-36 t=25120
ri ben ming 	日本名	c=1 d=3.99538e-31 t=25120
ri chang 	日常	c=3 d=0.000315927 t=25120
ri chu 	日出	c=1 d=0.00255424 t=25120
ri ri 	日日	c=3 d=0.00323088 t=25120
ri wen 	日文	c=1 d=1.93809e-20 t=25120
ri ye 	日夜	c=0 d=6.02338e-38 t=25120
ri ye dian dao 	日夜顛倒	c=1 d=6.05357e-37 t=25120
ri yuan 	日元	c=1 d=6.90477e-26 t=25120
rong 	榮	c=1 d=8.16009e-50 t=25120
rong duan 	熔斷	c=1 d=0.159614 t=25120
rong huo 	熔火	c=1 d=2.14856e-27 t=25120
rong liang 	容量	c=1 d=2.21136e-13 t=25120
rong yi 	容易	c=1 d=3.17825e-45 t=25120
rong zi 	融資	c=1 d=1.20987e-06 t=25120
rou 	揉	c=1 d=2.49067e-30 t=25120
rou 	肉	c=1 d=2.92025e-49 t=25120
rou bai ruan 	肉白軟	c=1 d=9.9258e-31 t=25120
rou ruan 	柔軟	c=1 d=8.36266e-15 t=25120
ru 	入	c=9 d=0.000953854 t=25120
ru 	如	c=3 d=1.64525e-34 t=25120
ru guo 	如果	c=54 d=0.133668 t=25120
ru he 	如何	c=1 d=4.30963e-10 t=25120
ru jiao 	入教	c=1 d=0.000812821 t=25120
ru keng 	入坑	c=1 d=5.24361e-53 t=25120
ru kou 	入口	c=2 d=8.91034e-26 t=25120
ru mian 	入麪	c=2 d=2.40051e-08 t=25120
ru qin 	入侵	c=1 d=9.58962e-08 t=25120
ru qiu 	入秋	c=1 d=1.23213e-44 t=25120
ru tu 	如圖	c=2 d=1.7103e-12 t=25120
ru xi 	入戲	c=0 d=5.80928e-24 t=25120
ru xi tai shen 	入戲太深	c=1 d=5.8384e-23 t=25120
ru xue 	入學	c=1 d=3.43476e-17 t=25120
ru zhui 	入贅	c=1 d=4.68049e-40 t=25120
ruan 	軟	c=1 d=3.27626e-20 t=25120
ruan fen 	軟粉	c=1 d=1.25942e-37 t=25120
ruan guang 	軟廣	c=1 d=5.7298e-08 t=25120
ruan hei 	軟黑	c=1 d=3.32577e-20 t=25120
ruan jian 	軟件	c=10 d=4.80467e-07 t=25120
ruan mei bi 	軟妹幣	c=1 d=3.39296e-20 t=25120
rui 	瑞	c=0 d=1.70125e-17 t=25120
ruo 	若	c=2 d=1.24282e-28 t=25120
ruo bing 	若冰	c=4 d=9.71722e-31 t=25120
sa er 	薩爾	c=2 d=1.00996e-25 t=25120
sa wang 	撒網	c=1 d=3.95011e-44 t=25120
sai 	塞	c=0 d=3.43885e-32 t=25120
sai 	賽	c=0 d=5.50027e-28 t=25120
sai bu man 	塞不滿	c=1 d=3.45609e-31 t=25120
sai che 	塞車	c=2 d=1.53642e-23 t=25120
sai che chang 	賽車場	c=4 d=5.37604e-18 t=25120
sai cheng 	賽程	c=2 d=1.84387e-14 t=25120
sai ji 	賽季	c=6 d=0.0222017 t=25120
sai wei li ya 	塞維利亞	c=1 d=1.14625e-11 t=25120
sai wei li ya bei 	塞維利亞盃	c=1 d=1.02371e-11 t=25120
san 	三	c=2 d=8.80968e-10 t=25120
san 	傘	c=1 d=0.283654 t=25120
san 	散	c=1 d=6.62839e-16 t=25120
san bai 	三百	c=0 d=5.67665e-17 t=25120
san ban 	三版	c=1 d=2.81798e-12 t=25120
san bang 	三棒	c=7 d=1.44041e-27 t=25120
san bei 	三倍	c=1 d=5.68826e-40 t=25120
san bing 	散兵	c=1 d=0.000160054 t=25120
san bu 	散步	c=2 d=0.361845 t=25120
san chang 	三場	c=1 d=6.00905e-09 t=25120
san ci 	三次	c=0 d=4.14135e-13 t=25120
san ci yuan 	三次元	c=1 d=4.16211e-12 t=25120
san da 	三大	c=1 d=2.66573e-35 t=25120
san di 	三弟	c=1 d=1.00102e-12 t=25120
san guan 	三觀	c=1 d=1.76851e-31 t=25120
san guo 	三國	c=1 d=0.451581 t=25120
san ji 	三季	c=1 d=0.123687 t=25120
san jia 	三家	c=1 d=1.32583e-24 t=25120
san jia 	三甲	c=1 d=1.70536e-15 t=25120
san jiao 	三角	c=1 d=7.6692e-26 t=25120
san miao 	三喵	c=5 d=1.0653e-05 t=25120
san nian 	三年	c=2 d=1.25552e-30 t=25120
san piao 	三票	c=1 d=3.15047e-30 t=25120
san sang 	三桑	c=1 d=1.17691e-34 t=25120
san shi 	三十	c=0 d=1.13411e-11 t=25120
san shi nian 	三十年	c=1 d=1.1398e-10 t=25120
san xiao jie 	三小姐	c=1 d=3.51131e-41 t=25120
san xing 	三星	c=2 d=5.24199e-20 t=25120
san ya 	三亞	c=1 d=7.18656e-26 t=25120
san yuan li 	三元里	c=2 d=2.54237e-07 t=25120
sang bing 	喪病	c=1 d=3.58163e-39 t=25120
sang qie si 	桑切斯	c=1 d=1.78817e-14 t=25120
sang shi 	喪事	c=1 d=7.60712e-48 t=25120
sang shi 	喪屍	c=1 d=3.97896e-12 t=25120
sao 	掃	c=2 d=2.29324e-29 t=25120
sao di 	掃地	c=0 d=2.47909e-35 t=25120
sao di seng 	掃地僧	c=1 d=2.49152e-34 t=25120
sao hui 	掃灰	c=1 d=2.30474e-29 t=25120
sao miao 	掃描	c=1 d=8.32378e-19 t=25120
se 	色	c=2 d=2.32347e-36 t=25120
se cha 	色差	c=1 d=3.12125e-38 t=25120
sen 	森	c=0 d=3.04895e-28 t=25120
seng 	僧	c=0 d=2.47909e-35 t=25120
sha 	傻	c=6 d=0.325847 t=25120
sha 	啥	c=6 d=0.000536132 t=25120
sha 	殺	c=4 d=1.27838 t=25120
sha 	沙	c=1 d=0.000602152 t=25120
sha he 	沙盒	c=2 d=2.32655e-45 t=25120
sha lu 	殺戮	c=1 d=3.26158e-26 t=25120
